"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"59","CYN5126",6,2,2200,"east","cyperus_round","T",3,1,7,4,0.0432,0.01355,1.984,0.276,45.9259259259259,146.420664206642,0.313657407407407,2,0.0864,0.316,0.237,0.275,NA,NA,2,3.968,2,2,2,2,0.0271,"no",NA,NA,950
"60","EZK1819",3,1,2000,"west","cyperus_semitrifidus","T",2,2,10.4,8.5,0.0228,NA,0.696,0.304333333333333,30.5263157894737,NA,NA,1,0.0228,0.298,0.315,0.3,NA,NA,1,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ECB0251",3,1,2000,"west","cyperus_semitrifidus","T",2,1,9.2,6.9,0.0174,NA,0.733,0.278333333333333,42.1264367816092,NA,NA,1,0.0174,0.24,0.319,0.276,NA,NA,1,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","EYE3234",3,1,2000,"west","cyperus_semitrifidus","T",2,3,3.4,4.9,0.0117,NA,0.458,0.345666666666667,39.1452991452991,NA,NA,1,0.0117,0.287,0.339,0.411,NA,NA,1,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EVK6018",5,1,2000,"west","cyperus_semitrifidus","T",4,1,6.8,8.3,0.01445,NA,0.427,0.234,29.5501730103806,NA,NA,2,0.0289,0.272,0.243,0.187,NA,NA,2,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EBP5355",5,1,2000,"west","cyperus_semitrifidus","T",1,3,5.5,6,0.0053,NA,0.177,0.239666666666667,33.3962264150943,NA,NA,1,0.0053,0.26,0.242,0.217,NA,NA,1,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","EBB4008",5,1,2000,"west","cyperus_semitrifidus","T",3,1,7.1,8,0.0092,NA,0.335,0.351,36.4130434782609,NA,NA,1,0.0092,0.349,0.379,0.325,NA,NA,1,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ECE6395",5,1,2000,"west","cyperus_semitrifidus","T",4,2,8.1,4,0.0463,0.008,1.306,0.325666666666667,28.207343412527,163.25,0.172786177105832,1,0.0463,0.324,0.351,0.302,NA,NA,1,1.306,1,1,1,1,0.008,"no",NA,NA,55
"67","ECD3056",5,1,2000,"west","cyperus_semitrifidus","T",4,3,6.4,9.2,0.0263,NA,0.793,0.437,30.1520912547529,NA,NA,1,0.0263,0.451,0.436,0.424,NA,NA,1,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ELR6057",5,1,2000,"east","cyperus_semitrifidus","T",5,1,6,7,0.00955,NA,0.268,0.433666666666667,28.0628272251309,NA,NA,2,0.0191,0.456,0.468,0.377,NA,NA,2,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","EMF8750",5,1,2000,"east","cyperus_semitrifidus","T",2,3,10.5,8,0.0389,NA,1.7415,0.255666666666667,44.7686375321337,NA,NA,2,0.0778,0.266,0.249,0.252,NA,NA,2,3.483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","EKI2839",5,1,2000,"east","cyperus_semitrifidus","T",3,1,5.5,11.5,0.0168,0.0049,0.493,0.458,29.3452380952381,100.612244897959,0.291666666666667,1,0.0168,0.45,0.505,0.419,NA,NA,1,0.493,1,1,1,1,0.0049,"no",NA,NA,119
"71","EVO6809",5,1,2000,"east","cyperus_semitrifidus","T",1,2,10,14,0.0601,0.019,2.839,0.262666666666667,47.2379367720466,149.421052631579,0.316139767054908,1,0.0601,0.231,0.286,0.271,NA,NA,1,2.839,1,1,1,1,0.019,"no",NA,NA,59
"72","EPF4745",5,1,2000,"east","cyperus_semitrifidus","T",4,3,6.2,8.5,0.0114,0.00295,0.2535,0.524,22.2368421052632,85.9322033898305,0.258771929824561,2,0.0228,0.505,0.603,0.464,NA,NA,2,0.507,2,2,2,2,0.0059,"no",NA,NA,127
"73","ELS2852",5,1,2000,"west","cyperus_semitrifidus","T",5,2,3,6.5,0.0106,NA,0.354,0.249333333333333,33.3962264150943,NA,NA,1,0.0106,0.226,0.265,0.257,NA,NA,1,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ENG5652",5,1,2000,"east","cyperus_semitrifidus","T",3,2,6.2,8,0.0257,NA,0.855,0.395,33.2684824902724,NA,NA,1,0.0257,0.381,0.375,0.429,NA,NA,1,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","EUJ1659",5,1,2000,"west","cyperus_semitrifidus","T",3,2,4.1,5.8,0.0152,NA,0.441,0.398,29.0131578947368,NA,NA,1,0.0152,0.363,0.42,0.411,NA,NA,1,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA
