"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"38","J_ref37",63,0.0779592765465586,0.00373537625526325,0.509194346756359,0.0186478277981271,1.0642999814542,0.00744166919774041,22.54732090499,0.0768955844987945,-96.0653715941172,0.975881021169103,13.05505
"39","J_ref38",66,0.130152919262928,0.00674844998076825,0.805130606939589,0.0198880885656271,1.03745387234008,0.012987811849914,23.3032099369632,0.0504862831280454,-710.577226805308,0.991793959107185,14.5719
"40","J_ref39",68,0.0808012177156018,0.00126531303976287,0.603805092155589,0.0065388825709301,1.17396790900837,0.00224273341888611,22.7917175331027,0.0240768412348833,-727.894262034481,0.997569921029496,14.13065
"41","J_ref40",69,0.0536798674845805,0.000856003169236963,0.281259279594641,0.00820487293241241,1.6804720219448,0.0160542961638031,19.588080428546,0.056286697907511,80.6408177786764,0.993684952299105,14.994
"42","J_ref41",70,0.032130459672711,0.000308242569761756,0.169188178954718,0.00654876238070104,2.55794345416852,0.0573924687731189,22.9599667968801,0.100551807099173,211.253711060753,0.976092654239071,15.1905
"43","J_ref42",72,0.0807546875144087,0.00181899801977095,0.476143471267767,0.00913495334273878,1.09780384391243,0.00389458010186241,21.868130489652,0.0495603945117607,-172.54964077424,0.98936559361493,16.1305
"44","J_ref43",75,0.0638963227365716,0.000964991244597128,0.635806417353966,0.00646683664604606,1.38172910190387,0.00241206639012028,19.7869002623506,0.0226302848473603,-838.262326870278,0.997579209165,14.0303230769231
"45","J_ref44",76,0.167409083640057,0.00353865631631964,0.875059977616546,0.00769000903057185,1.1706016434029,0.00413545180526039,21.486805921223,0.0179722359220034,-1011.54164008045,0.998973217455968,12.5618307692307
"46","J_ref45",78,0.0131830784855836,6.66335372689645e-05,0.190718949978552,0.00373369247212066,1.81343118546975,0.0362411684099529,27.4748326590216,0.0679116182154541,-941.377943332249,0.974286053422135,14.27335
"47","J_ref46",79,0.0145794258595622,0.000127344461559452,0.195975721002101,0.00939897773876036,2.94160825445888,0.0315996296583356,24.1496506509322,0.0763931143863022,-316.550770400488,0.992289380545963,NA
"48","J_ref47",81,0.0173473451065152,0.000352397575922239,0.189194106528229,0.010523257323117,1.49335653514548,0.0333235850038544,20.2987891014162,0.0936119415102073,-474.916625933458,0.976338443687722,13.64755
"49","J_ref48",82,0.0274414958362816,0.000510592945544468,0.254198115245376,0.00872481398059114,1.15455589308425,0.011468194016321,20.9080555080065,0.0479902249949182,-795.08471300217,0.992665668332354,13.475645
"50","J_ref49",83,0.0302419941962155,0.00031490130990036,0.499340862535441,0.00578401232725066,1.80161497464391,0.00755804931541279,21.4450545768703,0.0302754779072914,-757.466856282257,0.995769705808614,14.3560230769231
"51","J_ref50",86,0.0593446415173831,0.00292298420608572,0.929214937270639,0.0245428753131402,1.37805690553681,0.00943430463379345,24.3256418128054,0.0467001197796654,-667.989256163761,0.987509275610558,11.8096
"52","J_ref51",94,0.0769799957123069,0.000938815270329798,0.683382245360518,0.00584459640197169,1.25875585923525,0.00250013456702169,22.0899934438304,0.0191626804403772,-894.185104890856,0.998710645165305,15.3772
"53","J_ref52",95,0.261308151877846,0.0108614929910613,1.09498730039883,0.0197079251158897,1.43789609426753,0.0159670852236744,19.2678788118819,0.0299420172510001,-707.711673589922,0.996319284213057,13.5307
"54","J_ref53",96,0.0624282165160392,0.000975974511619639,0.516993248721901,0.00849863995207478,1.39514367388972,0.00326777493036394,21.644258095053,0.0268493700587449,-510.885481608666,0.997828263726053,13.4942
"55","J_ref54",97,0.0394397036997331,0.000605375771100759,0.558029068945838,0.00942697616195632,1.54194964287338,0.00451060244944432,22.6306533106605,0.0317772735852885,-589.511237771371,0.995530204809495,13.82515
"56","J_ref55",98,0.0224598732406275,0.000190042438056235,0.19468756824418,0.00577402277564782,1.86090929881938,0.0230923798644979,22.4573044027275,0.0506751795132432,-497.504887547811,0.994082413372148,13.5647
"57","J_ref56",99,0.0593213016979311,0.000678429693737834,0.480845672036411,0.00655207583382685,1.35431729639376,0.00295804918649768,22.8006950646174,0.0221194639381477,-628.408042801879,0.998353185634036,13.6146
"58","J_ref57",100,0.0764416554602664,0.00277673303460021,0.52735093211539,0.0149477230164104,0.915115835890842,0.00439248591972342,25.2910147105989,0.0519293274201943,-541.195302461938,0.988934591495727,14.53595
"59","J_ref58",101,0.0264264859207415,0.000374578766912396,0.258627179176535,0.00845529415905188,1.33668816823877,0.00853771156300157,21.2264041612424,0.0395621002494485,-740.39076430975,0.996433527925117,11.8049
"60","J_ref59",114,0.0498322479016116,0.0010101972806082,0.500876250513319,0.00952986826050263,1.10874359186244,0.00261031075600591,22.1250637742046,0.0272260641432572,-899.721505165088,0.997111261675195,12.8379
"61","J_ref60",115,0.481132048802381,0.0469490239062952,1.21528503723139,0.0475462266312964,1.39692325365366,0.0429839074864554,20.2205463183963,0.0707860026882047,-461.546840451529,0.979253821160453,14.43175
"62","J_ref61",118,0.159943849060068,0.00860617961086897,0.806538281674198,0.0267936139617642,1.14245419304938,0.0192572392543211,22.118761422149,0.0390447196027102,-577.445286195969,0.993413364299744,12.50055
"63","J_ref62",119,0.0412191185570359,0.00113409793805932,0.31701376818899,0.0156836039004027,1.36617048563399,0.015740014101642,21.5496886304841,0.0581263962438822,-202.167591765732,0.991328391355186,12.54075
"64","J_ref63",120,0.0587196090104195,0.00103390379279716,0.374247500775329,0.00924466559775378,1.35728995886627,0.00860669448526319,21.8405996038474,0.0454924482696965,-170.205934333222,0.994486176074017,15.05615
"65","J_ref64",121,0.0397103721834956,0.000694169022973432,0.485492384967621,0.0122578384679005,3.20427322672463,0.0427588711932341,21.0784497394503,0.0593011429520361,453.56305034149,0.980456545454362,12.34785
"66","J_ref65",124,0.0224696104756436,4.46275087099617e-05,0.237009312454278,0.00164723686899133,2.01613485731619,0.0162029124156078,28.0145252492751,0.0240294660087526,-1185.01755930273,0.996076055570546,13.2553307692307
